ACCOUNT_AGE,CUSTOMER_AGE,POLICY_NUMBER,POLICY_START_DATE,POLICY_STATE,LIABILITY_AMOUNT,DEDUCTABLE,ANNUAL_FEE,UMBRELLA_LIMIT,ZIP_CODE,GENDER,EDUCATION_LEVEL,OCCUPATION,CAPITAL_GAINS,INCIDENT_DATE,INCIDENT_TYPE,COLLISION_TYPE,INCIDENT_SEVERITY,AUTHORITIES,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR,NUMBER_OF_VEHICLES,PROPERTY_DAMAGE,BODILY_INJURIES,WITNESSES,POLICE_REPORT,TOTAL_CLAIM_AMOUNT,INJURY_CLAIM,PROPERTY_CLAIM,VEHICLE_CLAIM,AUTO_MAKE,AUTO_MODEL,AUTO_YEAR,FRAUD
343,48,436126,2009-11-03,IN,250/500,500,1451.54,3000000,473412,MALE,JD,adm-clerical,0,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,13,4,NO,2,3,NO,65070,7230,14460,43380,Mercedes,C300,2003,N
404,53,739447,2014-12-10,IN,250/500,500,767.14,0,466201,MALE,Associate,sales,-11200,2015-01-14,Parked Car,,Trivial Damage,Police,WV,Columbus,8,1,NO,0,1,NO,8800,1760,880,6160,Suburu,Legacy,2002,N
63,24,427484,1994-01-08,OH,250/500,2000,1620.89,0,469621,FEMALE,High School,handlers-cleaners,0,2015-02-03,Vehicle Theft,,Minor Damage,Police,NC,Hillsdale,7,1,NO,2,0,NO,6120,1020,1020,4080,Toyota,Corolla,2015,N
210,37,218684,2006-08-05,IN,500/1000,2000,1048.46,0,466676,MALE,High School,priv-house-serv,59900,2015-01-05,Vehicle Theft,,Trivial Damage,,OH,Columbus,9,1,NO,1,2,NO,7080,1180,590,5310,Dodge,RAM,1999,N
335,50,565564,2007-02-07,OH,100/300,1000,1538.26,6000000,615346,MALE,High School,sales,30800,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,12,3,YES,2,3,YES,34320,8580,4290,21450,Volkswagen,Passat,2009,N
11,40,743163,2001-04-09,OH,500/1000,2000,1217.69,0,440106,FEMALE,MD,prof-specialty,24000,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,6,3,NO,1,0,NO,53460,9720,9720,34020,Dodge,Neon,2004,Y
142,33,604614,1995-02-17,IN,100/300,2000,1362.64,5000000,450332,FEMALE,JD,exec-managerial,0,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,11,1,YES,1,3,NO,81360,6780,13560,61020,Suburu,Legacy,2009,Y
272,43,509928,1995-07-25,OH,100/300,1000,1279.13,0,615226,MALE,PhD,craft-repair,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,5,3,NO,1,2,YES,81070,7370,14740,58960,Audi,A3,2006,Y
69,26,593390,2006-03-24,IL,100/300,2000,924.72,0,437688,FEMALE,High School,machine-op-inspct,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,14,1,NO,2,2,NO,63120,5260,10520,47340,Audi,A5,2008,N
38,28,970607,1995-03-28,OH,250/500,1000,1019.44,0,437387,MALE,Masters,transport-moving,-39700,2015-02-10,Vehicle Theft,,Trivial Damage,,NC,Springfield,17,1,NO,2,1,NO,7200,1440,720,5040,BMW,X5,2004,N
328,46,174701,1996-06-19,IL,500/1000,500,1314.6,0,458139,FEMALE,MD,prof-specialty,24800,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,0,1,NO,2,3,NO,70290,12780,6390,51120,Saab,92x,1998,Y
281,43,529398,1993-06-16,OH,100/300,1000,1515.18,6000000,443191,MALE,College,priv-house-serv,0,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,X6,1999,N
246,44,940942,2001-07-11,OH,250/500,2000,1649.18,0,613647,MALE,College,farming-fishing,-58600,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,18,1,YES,1,2,YES,61380,11160,5580,44640,Honda,Civic,2009,Y
298,49,442677,2008-11-22,OH,250/500,500,1451.01,0,460820,FEMALE,College,other-service,47800,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,17,1,NO,2,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,N
330,50,365364,2002-12-28,IL,500/1000,1000,978.46,0,431121,FEMALE,High School,sales,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,19,1,YES,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,N
362,50,114839,2006-01-01,IL,250/500,500,1198.34,4000000,619735,MALE,Associate,sales,-19500,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,17,3,NO,1,1,NO,57060,6340,6340,44380,Mercedes,E400,1995,N
241,38,872734,1990-05-19,IN,100/300,2000,1003.23,0,470485,FEMALE,Associate,tech-support,0,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,23,3,NO,0,3,YES,77880,12980,12980,51920,Accura,MDX,2008,N
245,41,267885,2013-08-26,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,exec-managerial,-36100,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,4,1,YES,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N
371,52,740505,1997-10-12,IL,250/500,1000,1242.96,7000000,449800,FEMALE,High School,other-service,-37100,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,2,2,YES,2,0,NO,88920,6840,13680,68400,Accura,RSX,2010,N
343,52,629663,2002-01-21,IL,500/1000,1000,1053.02,0,602402,FEMALE,Associate,prof-specialty,0,2015-02-16,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,2,1,NO,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y
377,53,839884,1996-09-02,IL,100/300,500,1693.63,0,452456,FEMALE,MD,craft-repair,-64000,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,2015,N
154,37,241562,2010-01-28,IL,250/500,1000,2047.59,0,439269,FEMALE,MD,farming-fishing,-67800,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,2,1,NO,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,N
166,34,405533,2014-10-03,OH,100/300,1000,1083.72,0,617774,FEMALE,High School,machine-op-inspct,-2600,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,18,1,NO,0,2,YES,53680,4880,4880,43920,Honda,CRV,2005,N
298,46,667021,2007-05-02,OH,500/1000,1000,1138.42,6000000,477678,MALE,JD,prof-specialty,-18100,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,18,1,NO,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N
235,42,511621,1990-09-22,IN,250/500,500,1072.62,0,444913,FEMALE,Masters,machine-op-inspct,-20300,2015-02-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,7,4,NO,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,2006,N
172,35,476923,2004-09-19,IL,100/300,2000,1219.04,0,456602,MALE,MD,handlers-cleaners,-5100,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,19,3,NO,2,0,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999,N
27,28,735822,1995-08-28,IN,100/300,2000,1371.78,0,451560,MALE,JD,farming-fishing,-32500,2015-02-04,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,10,3,NO,0,2,YES,53600,5360,10720,37520,Audi,A5,2015,Y
428,54,492745,2004-02-04,IN,100/300,2000,1506.21,0,453407,MALE,Masters,transport-moving,-24400,2015-01-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,16,3,NO,1,0,NO,76560,12760,6380,57420,Nissan,Ultima,2009,N
99,32,130930,2014-07-23,IN,100/300,1000,1058.21,3000000,618655,MALE,JD,craft-repair,0,2015-01-10,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,17,1,YES,1,1,NO,41130,4570,4570,31990,Dodge,RAM,1999,N
107,26,261119,1997-03-21,IL,500/1000,2000,932.14,0,612550,MALE,MD,sales,40600,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,2,3,NO,2,3,NO,78650,14300,7150,57200,Audi,A3,1996,Y
272,41,280709,1991-05-06,OH,500/1000,2000,1608.34,0,466718,FEMALE,Associate,farming-fishing,22700,2015-02-16,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,NO,1,1,NO,71060,6460,12920,51680,Saab,92x,2010,N
151,37,898573,1992-08-07,IN,500/1000,1000,1728.56,0,617947,FEMALE,Masters,farming-fishing,54000,2015-02-08,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,0,1,YES,1,1,NO,38830,3530,3530,31770,Suburu,Legacy,1999,N
249,43,547802,2013-09-03,IL,250/500,1000,1518.46,0,606238,FEMALE,MD,armed-forces,0,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,16,1,NO,0,0,YES,53500,5350,5350,42800,Saab,92x,2015,N
177,38,600845,2012-01-05,IL,100/300,2000,1540.19,0,463842,FEMALE,College,adm-clerical,-74500,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,20,1,YES,2,0,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,Y
190,40,390381,2007-01-27,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,exec-managerial,-16800,2015-02-02,Parked Car,,Trivial Damage,,SC,Hillsdale,10,1,NO,2,1,YES,6300,630,630,5040,Nissan,Ultima,2001,N
174,36,629918,2005-10-14,IL,100/300,2000,1278.75,0,461328,FEMALE,College,tech-support,-600,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,21,3,NO,2,2,NO,65400,10900,10900,43600,Dodge,RAM,2012,N
95,28,208298,1990-11-03,OH,250/500,1000,773.99,0,458727,MALE,Associate,armed-forces,-70300,2015-01-01,Vehicle Theft,,Trivial Damage,,PA,Springfield,3,1,YES,1,2,NO,3200,640,320,2240,Mercedes,E400,2014,N
371,51,513099,2005-10-15,IN,500/1000,1000,1532.47,0,452587,FEMALE,Associate,tech-support,35600,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,7,1,YES,0,3,YES,75400,7540,15080,52780,Dodge,RAM,2012,Y
2,28,184938,1999-05-22,IL,250/500,1000,1340.56,0,433184,FEMALE,JD,machine-op-inspct,0,2015-01-17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,19,1,YES,0,2,YES,58140,6460,6460,45220,Saab,92x,2008,N
269,44,187775,2002-12-21,OH,100/300,500,1297.75,4000000,451280,FEMALE,JD,other-service,-41400,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,15,3,NO,0,1,NO,98670,15180,15180,68310,Chevrolet,Tahoe,2010,Y
101,27,326322,2007-02-10,IL,250/500,1000,433.33,0,603269,MALE,Masters,machine-op-inspct,25900,2015-01-02,Parked Car,,Minor Damage,,SC,Hillsdale,7,1,NO,0,3,NO,5900,1180,590,4130,Mercedes,E400,2009,N
94,30,146138,2002-03-01,IN,250/500,2000,1025.54,0,442632,FEMALE,High School,armed-forces,-52600,2015-02-20,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,19,1,NO,1,3,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001,N
117,28,336047,2003-04-21,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,transport-moving,15000,2015-02-05,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,13,2,YES,0,1,NO,55440,5040,10080,40320,Suburu,Forrestor,2009,Y
111,27,532330,2002-09-22,OH,250/500,500,1459.97,5000000,441783,MALE,MD,sales,0,2015-02-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,2011,Y
242,40,118137,1998-02-10,OH,100/300,500,1238.65,0,468702,FEMALE,High School,transport-moving,-44600,2015-01-27,Vehicle Theft,,Trivial Damage,Police,WV,Springfield,5,1,YES,1,1,NO,7480,680,680,6120,Saab,95,1998,N
440,61,212674,1992-09-01,OH,250/500,500,1050.76,0,467942,MALE,PhD,transport-moving,-28700,2015-01-26,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,21,1,NO,2,3,NO,53640,5960,5960,41720,Nissan,Maxima,2004,Y
20,23,935596,1999-05-01,OH,500/1000,1000,1711.72,0,463678,FEMALE,JD,tech-support,0,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,21,3,NO,2,2,NO,63250,5750,11500,46000,Chevrolet,Tahoe,2002,Y
461,57,737593,1997-12-19,IL,100/300,500,865.33,7000000,615220,FEMALE,High School,farming-fishing,0,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,7,3,NO,0,1,NO,59040,9840,9840,39360,Dodge,RAM,1995,N
208,36,812025,2000-06-18,IL,250/500,500,1153.49,0,432711,MALE,Associate,craft-repair,0,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,16,3,YES,1,0,YES,50500,10100,5050,35350,Accura,TL,2004,N
279,43,168151,1995-04-24,OH,500/1000,2000,1281.25,0,463583,MALE,Associate,machine-op-inspct,0,2015-01-17,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,C300,2010,Y
244,40,594739,2006-06-16,IL,100/300,500,1342.8,0,439502,FEMALE,MD,sales,0,2015-02-02,Vehicle Theft,,Trivial Damage,Police,NY,Springfield,2,1,YES,1,3,YES,5940,660,660,4620,Toyota,Camry,2014,N
134,30,843227,2007-09-28,OH,250/500,2000,1443.32,0,613287,FEMALE,PhD,exec-managerial,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,19,3,NO,0,2,YES,47790,5310,5310,37170,Suburu,Impreza,1995,Y
122,29,283925,1991-11-21,OH,250/500,1000,1629.94,0,620104,FEMALE,Masters,priv-house-serv,-47100,2015-02-02,Parked Car,,Trivial Damage,,SC,Riverwood,17,1,NO,0,1,NO,3850,350,350,3150,Dodge,Neon,2014,N
156,31,475588,1996-09-21,IL,100/300,2000,1134.08,0,446895,MALE,PhD,other-service,0,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,NO,2,0,NO,59000,5900,5900,47200,Ford,Fusion,2013,Y
232,43,751905,2001-05-16,OH,250/500,500,1483.91,8000000,431531,MALE,College,machine-op-inspct,-33600,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,17,3,NO,0,1,NO,70600,7060,14120,49420,Volkswagen,Passat,2013,Y
244,40,226725,1999-08-11,IN,500/1000,2000,1304.67,7000000,605408,MALE,Masters,armed-forces,-45000,2015-01-10,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,5,3,NO,1,1,NO,61490,5590,11180,44720,Dodge,RAM,2001,N
84,30,942504,2003-06-16,IL,500/1000,2000,1035.79,0,457551,FEMALE,MD,protective-serv,-7100,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,NO,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,N
394,57,395572,1999-03-30,IL,250/500,500,1401.2,0,619892,FEMALE,High School,craft-repair,51500,2015-01-25,Vehicle Theft,,Trivial Damage,Police,NC,Hillsdale,9,1,NO,1,0,NO,6890,1060,1060,4770,Audi,A5,1999,N
246,45,889883,1999-02-03,IL,250/500,1000,1665.45,0,445853,MALE,JD,machine-op-inspct,1300,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,9,3,NO,2,2,NO,53280,11840,5920,35520,Toyota,Camry,2006,Y
35,29,818167,2011-08-25,IN,500/1000,2000,653.66,0,475483,FEMALE,JD,handlers-cleaners,5200,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,NO,0,0,NO,78300,15660,7830,54810,BMW,X5,2009,N
156,37,277767,2010-06-28,OH,100/300,500,1080.13,0,606290,MALE,Associate,protective-serv,-61000,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,15,3,YES,0,3,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,N
195,36,842618,2001-11-06,IN,100/300,2000,1346.18,0,611852,FEMALE,Associate,machine-op-inspct,4500,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,14,3,YES,2,3,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,N
369,55,577810,2013-04-15,OH,250/500,2000,1589.54,0,444734,MALE,College,handlers-cleaners,55400,2015-01-27,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,6,3,NO,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,2003,N
271,40,873114,1995-12-07,IL,100/300,1000,1251.65,0,433683,FEMALE,Associate,other-service,71200,2015-02-19,Parked Car,,Minor Damage,,NY,Hillsdale,6,1,NO,0,0,NO,3080,560,280,2240,Audi,A3,2012,N
332,47,994538,1991-11-01,IL,100/300,2000,1083.01,0,448882,MALE,MD,craft-repair,91900,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,22,4,YES,2,0,NO,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,Y
107,26,727792,2014-05-19,OH,100/300,500,974.59,0,466838,FEMALE,JD,armed-forces,62800,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,14,3,NO,1,0,NO,59700,11940,11940,35820,Nissan,Ultima,2002,N
217,39,522506,1992-03-15,IL,500/1000,2000,1399.85,0,605490,FEMALE,Masters,other-service,30100,2015-01-10,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,16,3,NO,0,2,NO,64920,10820,10820,43280,Ford,Fusion,1997,N
243,43,367595,2006-02-03,IN,500/1000,500,1307.74,0,466137,FEMALE,Associate,machine-op-inspct,-75700,2015-01-28,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,NO,0,1,NO,37530,4170,4170,29190,Jeep,Wrangler,2008,N
296,42,586104,2003-03-16,IN,250/500,2000,1219.27,0,466970,MALE,Associate,tech-support,-10300,2015-02-16,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,9,3,YES,1,2,NO,64080,7120,7120,49840,Saab,93,2012,N
264,41,424862,2002-10-16,OH,100/300,500,1411.3,0,474801,MALE,PhD,prof-specialty,55600,2015-02-08,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,NO,1,0,NO,60390,10980,5490,43920,BMW,M5,2004,Y
108,33,512813,1990-01-27,IL,100/300,2000,694.45,0,450703,FEMALE,JD,armed-forces,0,2015-01-20,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,NO,0,1,YES,64350,5850,11700,46800,Nissan,Pathfinder,2011,Y
32,38,356768,2010-03-11,IL,100/300,500,1006.77,6000000,478172,FEMALE,College,other-service,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,1997,N
259,39,330506,1995-09-19,OH,250/500,1000,1422.36,0,604668,FEMALE,JD,craft-repair,-83900,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,NO,46560,7760,7760,31040,Nissan,Ultima,2012,N
186,33,779075,2010-02-27,IN,100/300,1000,1348.32,0,469429,FEMALE,Associate,craft-repair,0,2015-01-14,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,3,1,NO,2,1,NO,4730,860,860,3010,Chevrolet,Malibu,2013,Y
201,40,799501,1991-12-28,OH,250/500,2000,1315.56,0,471806,FEMALE,PhD,transport-moving,0,2015-02-18,Vehicle Theft,,Minor Damage,Police,SC,Northbrook,14,1,YES,0,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,2003,N
436,58,987905,2002-04-30,OH,250/500,2000,1407.01,5000000,475705,MALE,PhD,tech-support,19800,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,NO,0,2,NO,59900,11980,5990,41930,BMW,X5,1997,Y
189,36,967756,2007-04-28,OH,250/500,2000,1388.58,0,459122,FEMALE,MD,priv-house-serv,-49400,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,17,3,NO,1,3,YES,79560,13260,13260,53040,Ford,Escape,2009,N
105,33,830414,1996-07-08,IL,500/1000,500,1310.76,0,476737,FEMALE,High School,adm-clerical,-40900,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,8,1,YES,0,1,NO,70290,12780,6390,51120,Accura,MDX,2008,N
163,31,127313,2002-04-01,IN,100/300,1000,1004.63,6000000,460359,MALE,JD,priv-house-serv,26900,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,YES,2,0,NO,63910,5810,11620,46480,Suburu,Forrestor,1999,N
219,40,786957,2006-10-29,OH,100/300,500,1134.91,0,452735,FEMALE,Associate,transport-moving,68700,2015-01-29,Vehicle Theft,,Trivial Damage,,SC,Riverwood,6,1,NO,1,0,NO,6400,640,640,5120,Toyota,Camry,1997,N
88,25,332892,2007-10-25,IN,250/500,1000,1194.0,0,613583,FEMALE,JD,handlers-cleaners,0,2015-02-13,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,YES,1,2,YES,66780,7420,7420,51940,Ford,Escape,2013,Y
40,39,448642,2001-03-28,IN,500/1000,1000,1248.25,4000000,605692,FEMALE,College,sales,-33300,2015-02-01,Parked Car,,Minor Damage,Police,VA,Northbrook,8,1,NO,0,2,NO,8760,1460,1460,5840,BMW,3 Series,2013,N
284,42,526039,1995-05-04,OH,100/300,500,1338.54,-1000000,438178,MALE,Associate,machine-op-inspct,0,2015-01-29,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,13,1,YES,0,1,NO,94160,8560,17120,68480,Chevrolet,Malibu,1996,N
59,40,444422,2011-09-28,IL,250/500,2000,782.23,0,449221,MALE,College,protective-serv,31900,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,0,3,NO,0,2,NO,51570,5730,11460,34380,BMW,X5,2010,N
39,31,689500,2003-01-28,IL,250/500,2000,1366.9,0,459322,FEMALE,High School,handlers-cleaners,-15700,2015-01-28,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,14,3,NO,1,0,NO,52700,10540,10540,31620,BMW,X6,2014,Y
147,34,806081,2011-02-01,IL,500/1000,1000,1275.81,0,472657,MALE,High School,sales,-48300,2015-01-21,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,13,1,YES,2,2,NO,101010,15540,15540,69930,Mercedes,ML350,1998,N
156,37,384618,1993-02-09,IN,250/500,500,1090.65,0,608331,MALE,High School,exec-managerial,-51800,2015-01-16,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,16,4,NO,1,2,YES,53400,5340,5340,42720,Honda,Civic,2010,Y
123,31,756459,2005-08-05,IN,250/500,500,1326.0,0,438546,FEMALE,Associate,prof-specialty,-54600,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,13,1,NO,1,2,NO,72120,12020,12020,48080,Mercedes,ML350,2009,N
231,43,655787,2006-06-17,IL,250/500,2000,972.47,0,441981,MALE,College,protective-serv,-58100,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,15,3,YES,2,2,YES,77100,7710,15420,53970,Audi,A3,2010,N
247,39,419954,1993-12-07,IL,100/300,500,806.31,0,602177,FEMALE,College,handlers-cleaners,0,2015-02-25,Parked Car,,Trivial Damage,Police,SC,Northbend,3,1,NO,2,3,NO,3300,600,0,2700,Dodge,RAM,2003,N
194,35,275092,2012-03-14,IL,500/1000,500,1416.24,0,441659,FEMALE,MD,adm-clerical,0,2015-02-26,Parked Car,,Minor Damage,,WV,Northbend,7,1,YES,1,0,NO,5940,1080,540,4320,Nissan,Pathfinder,2003,N
119,27,515698,1997-08-05,IN,250/500,2000,1097.64,0,614812,MALE,High School,transport-moving,27100,2015-02-06,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,16,2,NO,1,0,NO,63720,7080,21240,35400,Accura,TL,2006,N
259,43,132871,2009-07-05,IL,100/300,500,947.75,0,458470,FEMALE,Masters,farming-fishing,-39300,2015-02-03,Vehicle Theft,,Trivial Damage,Police,SC,Riverwood,15,1,NO,1,3,NO,7680,1280,640,5760,Audi,A5,2008,N
107,31,714929,1994-11-25,IL,100/300,2000,1018.73,5000000,469646,MALE,Associate,handlers-cleaners,-62700,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,21,3,YES,1,2,NO,93730,14420,21630,57680,Honda,CRV,2001,N
48,44,297816,1997-02-03,IL,100/300,2000,1400.74,0,611118,MALE,College,sales,-21600,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,23,3,YES,0,2,NO,87300,17460,17460,52380,Jeep,Wrangler,2013,N
267,40,426708,2009-10-09,IL,250/500,500,1155.53,5000000,465158,MALE,JD,transport-moving,-35200,2015-01-24,Parked Car,,Trivial Damage,Police,NY,Columbus,5,1,NO,0,2,NO,5670,1260,630,3780,Ford,F150,1997,N
286,47,615047,2002-11-20,IN,250/500,500,1386.93,0,457130,MALE,High School,priv-house-serv,-23500,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,15,3,YES,0,0,NO,65800,13160,6580,46060,Accura,TL,2001,N
175,34,771236,1995-05-29,OH,100/300,500,915.29,0,607893,FEMALE,JD,handlers-cleaners,25300,2015-02-23,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,14,1,NO,2,1,YES,36720,4080,4080,28560,Honda,Accord,2009,Y
111,29,235869,2011-01-22,IL,250/500,500,1239.55,2000000,464736,FEMALE,PhD,farming-fishing,0,2015-01-09,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,1,1,NO,1,1,YES,52800,4800,9600,38400,Mercedes,ML350,1996,Y
151,37,931625,2012-10-18,IN,250/500,500,1366.42,0,476198,FEMALE,Associate,protective-serv,44000,2015-02-15,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,14,3,NO,1,2,YES,59100,5910,5910,47280,Nissan,Maxima,1998,Y
156,37,371635,1991-10-13,OH,500/1000,1000,1086.48,6000000,444903,MALE,Associate,machine-op-inspct,-53800,2015-01-16,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,17,3,NO,1,1,YES,77440,14080,7040,56320,Suburu,Legacy,1999,N
